User,month,year,parameter,value,NormValue,PlotValue,alpha,UserNorm,UserNormValue,MoYear,dx,dy
Mohave Valley I.D.D.,2,2012,Diversion,1004,0.201687424668542,0.201687424668542,0.5,0.201687424668542,0.201687424668542,2012-02-01,1172486.567,26495712.85
North Gila Valley I.D.D.,2,2012,Diversion,3022,0.506367292225201,0.506367292225201,0.5,0.506367292225201,0.506367292225201,2012-02-01,1905787.703,26266424.52
Palo Verde Irrigation District,2,2012,Diversion,58190,0.495234042553191,0.495234042553191,0.5,0.495234042553191,0.495234042553191,2012-02-01,699103.7691,26197040.05
Robert B. Griffith Water Project,2,2012,Diversion,24920,0.527206566810527,0.527206566810527,0.5,0.527206566810527,0.527206566810527,2012-02-01,699103.7691,26919087.4
Unit 'B' I.D.D.,2,2012,Diversion,1531,0.401731828916295,0.401731828916295,0.5,0.401731828916295,0.401731828916295,2012-02-01,1905787.703,26127655.58
Wellton-Mohawk I.D.D.,2,2012,Diversion,NA,NA,0.687039318630008,0.5,NA,0.687039318630008,2012-02-01,1905787.703,25988886.65
Yuma County WUA,2,2012,Diversion,NA,NA,0.605324094250269,0.5,NA,0.605324094250269,2012-02-01,1905787.703,25572579.84
Yuma Irrigation District,2,2012,Diversion,4969,0.513538652335676,0.513538652335676,0.5,0.513538652335676,0.513538652335676,2012-02-01,1905787.703,25711348.78
Yuma Mesa I.D.D.,2,2012,Diversion,11836,0.441394741749021,0.441394741749021,0.5,0.441394741749021,0.441394741749021,2012-02-01,1905787.703,25850117.71
Bard Unit,2,2012,Consumptive Use,NA,NA,0.1,0.5,NA,0.5,2012-02-01,699103.7691,25572579.84
Bullhead City,2,2012,Consumptive Use,350,0.452781371280724,0.452781371280724,0.5,0.452781371280724,0.452781371280724,2012-02-01,699103.7691,26543962.39
Central Arizona Project,2,2012,Consumptive Use,168959,0.901129084732022,0.901129084732022,0.5,0.901129084732022,0.901129084732022,2012-02-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,2,2012,Consumptive Use,7,0.318181818181818,0.318181818181818,0.5,0.318181818181818,0.318181818181818,2012-02-01,1424007.529,26543962.39
Cibola Valley I.D.D.,2,2012,Consumptive Use,NA,NA,0.36864694218326,0.5,NA,0.36864694218326,2012-02-01,699103.7691,26335808.99
City of Yuma,2,2012,Consumptive Use,1100,0.688360450563204,0.688360450563204,0.5,0.688360450563204,0.688360450563204,2012-02-01,1905787.703,26405193.45
Coachella Valley Water District,2,2012,Consumptive Use,20009,0.50387811634349,0.50387811634349,0.5,0.50387811634349,0.50387811634349,2012-02-01,699103.7691,25711348.78
Cocopah Indian Reservation,2,2012,Consumptive Use,266,0.264676616915423,0.264676616915423,0.5,0.264676616915423,0.264676616915423,2012-02-01,699103.7691,25850117.71
Colorado River Indian Reservation,2,2012,Consumptive Use,17214,0.319855810323684,0.319855810323684,0.5,0.319855810323684,0.319855810323684,2012-02-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,2,2012,Consumptive Use,2773,0.34037068859703,0.34037068859703,0.5,0.34037068859703,0.34037068859703,2012-02-01,1424007.529,26266424.52
Imperial Irrigation District,2,2012,Consumptive Use,192690,0.55049567179956,0.55049567179956,0.5,0.55049567179956,0.55049567179956,2012-02-01,699103.7691,25988886.65
Lake Havasu City,2,2012,Consumptive Use,516,0.620938628158845,0.620938628158845,0.5,0.620938628158845,0.620938628158845,2012-02-01,1424007.529,26682731.33
Met. Water District of So. Cal.,2,2012,Consumptive Use,NA,NA,0.711737492312534,0.5,NA,0.711737492312534,2012-02-01,1424007.529,26405193.45
Mohave Valley I.D.D.,2,2012,Consumptive Use,542,0.201636904761905,0.201636904761905,0.5,0.201636904761905,0.201636904761905,2012-02-01,1172486.567,26495712.85
North Gila Valley I.D.D.,2,2012,Consumptive Use,629,0.312779711586275,0.312779711586275,0.5,0.312779711586275,0.312779711586275,2012-02-01,1905787.703,26266424.52
Palo Verde Irrigation District,2,2012,Consumptive Use,22646,0.337813446305771,0.337813446305771,0.5,0.337813446305771,0.337813446305771,2012-02-01,699103.7691,26197040.05
Robert B. Griffith Water Project,2,2012,Consumptive Use,NA,NA,0.1,0.5,NA,0.5,2012-02-01,699103.7691,26919087.4
Unit 'B' I.D.D.,2,2012,Consumptive Use,557,0.179099678456592,0.179099678456592,0.5,0.179099678456592,0.179099678456592,2012-02-01,1905787.703,26127655.58
Wellton-Mohawk I.D.D.,2,2012,Consumptive Use,NA,NA,0.605156410294168,0.5,NA,0.605156410294168,2012-02-01,1905787.703,25988886.65
Yuma County WUA,2,2012,Consumptive Use,NA,NA,0.501946159309623,0.5,NA,0.501946159309623,2012-02-01,1905787.703,25572579.84
Yuma Irrigation District,2,2012,Consumptive Use,2600,0.471869328493648,0.471869328493648,0.5,0.471869328493648,0.471869328493648,2012-02-01,1905787.703,25711348.78
